"DIVIPOLA","Departamento","Municipio","Número de Atenciones 2017","Número de Atenciones 2018","Número de Atenciones 2019","Número de Personas Atendidas 2017","Número de Personas Atendidas 2018","Número de Personas Atendidas 2019","Variación 2017 -2018","Variación 2018 - 2019","Total Número de embarazos, partos y puerperios","Total Número de Personas Atendidas de embarazos, partos y puerperios","tasa representativa (aproximación)","Tasa representativa "
"70713","Sucre","San Onofre    ","","2","23","","2","18","1","0.88888888888889","25","20","1 ??/11","80%"
"25286","Cundinamarca","Funza     ","","37","58","","9","17","1","0.47058823529412","95","26","0 ??/10","27%"
"44098","La Guajira","Distracción     ","8","23","40","3","8","17","0.625","0.52941176470588","71","28","0 ??/10","39%"
"47058","Magdalena","Ariguaní     ","","173","148","","21","17","1","-0.23529411764706","321","38","0 ??/10","12%"
"54518","Norte de Santander","Pamplona     ","34","53","38","10","19","17","0.47368421052632","-0.11764705882353","125","45","0 ??/10","36%"
"68276","Santander","Floridablanca     ","","15","40","","6","17","1","0.64705882352941","55","19","0 ??/10","35%"
"54720","Norte de Santander","Sardinata     ","","35","37","","11","16","1","0.3125","72","27","0 ??/10","38%"
"85139","Casanare","Maní     ","","96","43","","17","16","1","-0.0625","139","33","0 ??/10","24%"
"5129"," Antioquia","Caldas     ","","6","35","","2","15","1","0.86666666666667","41","17","0 ??/10","41%"
"13244","Bolívar","El Carmen De Bolívar  ","","3","54","","1","15","1","0.93333333333333","57","16","0 ??/10","28%"
"15759","Boyacá","Sogamoso     ","","","29","","","15","#DIV/0!","1","29","15","1 ??/11","52%"
"20550","Cesar","Pelaya     ","14","5","39","4","2","15","-1","0.86666666666667","58","20","0 ??/10","34%"
"20621","Cesar","La Paz    ","4","41","20","3","21","15","0.85714285714286","-0.4","65","36","1 ??/11","55%"
"25260","Cundinamarca","El Rosal    ","","59","66","","9","15","1","0.4","125","24","0 ??/10","19%"
"68655","Santander","Sabana De Torres   ","","14","32","","10","15","1","0.33333333333333","46","24","1 ??/11","52%"
"68679","Santander","San Gil    ","","15","24","","8","15","1","0.46666666666667","39","23","1 ??/11","59%"
"85010","Casanare","Aguazul     ","","11","25","","7","15","1","0.53333333333333","36","22","1 ??/11","61%"
"85440","Casanare","Villanueva     ","","16","46","","5","15","1","0.66666666666667","62","19","0 ??/10","31%"
"20383","Cesar","La Gloria    ","3","2","33","1","1","14","0","0.92857142857143","38","16","0 ??/10","42%"
"44090","La Guajira","Dibulla     ","","","18","","","14","#DIV/0!","1","18","14","1 ??/11","78%"
"47551","Magdalena","Pivijay     ","","26","20","","16","14","1","-0.14285714285714","46","30","1 ??/11","65%"
"13468","Bolívar","Mompós     ","","9","28","","2","13","1","0.84615384615385","37","15","0 ??/10","41%"
"13620","Bolívar","San Cristóbal    ","2","25","28","2","8","13","0.75","0.38461538461538","55","23","0 ??/10","42%"
"20178","Cesar","Chiriguaná     ","4","23","19","4","15","13","0.73333333333333","-0.15384615384615","46","28","1 ??/11","61%"
"44874","La Guajira","Villanueva     ","3","38","26","3","13","13","0.76923076923077","0","67","29","0 ??/10","43%"
"50313","Meta","Granada     ","3","8","28","1","4","13","0.75","0.69230769230769","39","18","0 ??/10","46%"
"5148"," Antioquia","El Carmen De Viboral  ","","4","33","","3","12","1","0.75","37","15","0 ??/10","41%"
"23162","Córdoba","Cereté     ","","","13","","","11","#DIV/0!","1","13","11","1 ??/11","85%"
"41551","Huila","Pitalito     ","","19","149","","2","11","1","0.81818181818182","168","13","0 ??/10","8%"
"68432","Santander","Málaga     ","","19","12","","17","11","1","-0.54545454545455","31","28","1 ??/11","90%"
"19001","Cauca","Popayán     ","","11","31","","6","10","1","0.4","42","16","0 ??/10","38%"
"19698","Cauca","Santander De Quilichao   ","","","19","","","10","#DIV/0!","1","19","10","1 ??/11","53%"
"20060","Cesar","Bosconia     ","","4","22","","2","10","1","0.8","26","12","0 ??/10","46%"
"20517","Cesar","Pailitas     ","4","8","20","1","4","10","0.75","0.6","32","15","0 ??/10","47%"
"20614","Cesar","Río De Oro   ","","4","36","","2","10","1","0.8","40","12","0 ??/10","30%"
"20750","Cesar","San Diego    ","3","23","11","3","13","10","0.76923076923077","-0.3","37","23","1 ??/11","62%"
"52001","Nariño","Pasto     ","","","43","","","10","#DIV/0!","1","43","10","0 ??/10","23%"
"66682","Risaralda","Santa Rosa De Cabal  ","","","25","","","10","#DIV/0!","1","25","10","0 ??/10","40%"
"86568","Putumayo","Puerto Asís    ","","6","14","","2","10","1","0.8","20","12","1 ??/11","60%"
"91669","Amazonas","Puerto Santander    ","","14","21","","5","10","1","0.5","35","15","0 ??/10","43%"
"5212"," Antioquia","Copacabana     ","","2","41","","1","9","1","0.88888888888889","43","10","0 ??/10","23%"
"5266"," Antioquia","Envigado     ","","1","25","","1","9","1","0.88888888888889","26","10","0 ??/10","38%"
"5308"," Antioquia","Girardota     ","","13","31","","2","9","1","0.77777777777778","44","11","0 ??/10","25%"
"5631"," Antioquia","Sabaneta     ","4","5","25","1","1","9","0","0.88888888888889","34","11","0 ??/10","32%"
"13688","Bolívar","Santa Rosa Del Sur  ","1","7","12","1","5","9","0.8","0.44444444444444","20","15","1 ??/11","75%"
"15407","Boyacá","Villa De Leyva   ","","","28","","","9","#DIV/0!","1","28","9","0 ??/10","32%"
"44035","La Guajira","Albania     ","2","40","12","1","21","9","0.95238095238095","-1.3333333333333","54","31","1 ??/11","57%"
"54172","Norte de Santander","Chinácota     ","3","28","35","1","8","9","0.875","0.11111111111111","66","18","0 ??/10","27%"
"54670","Norte de Santander","San Calixto    ","6","3","22","1","1","9","0","0.88888888888889","31","11","0 ??/10","35%"
"54800","Norte de Santander","Teorama     ","10","1","18","1","1","9","0","0.88888888888889","29","11","0 ??/10","38%"
"68575","Santander","Puerto Wilches    ","2","19","23","2","10","9","0.8","-0.11111111111111","44","20","0 ??/10","45%"
"68755","Santander","Socorro     ","","30","10","","19","9","1","-1.1111111111111","40","28","1 ??/11","70%"
"85162","Casanare","Monterrey     ","","12","20","","5","9","1","0.44444444444444","32","14","0 ??/10","44%"
